class,description
전용면적 60㎡ 이하,"무주택세대구성원으로서 전년도 도시근로자 가구원수별 가구당 월평균 소득의 100%(1인가구 120%, 2인가구 110%)이하인자· 50㎡ 미만 : 가구원수별 가구당 월평균소득의 50%(1인가구 70%, 2인가구 60%)이하인 자에게 우선공급· 50㎡ ~ 60㎡ 이하 : 가구원수별 가구당 월평균소득의 70%(1인가구 90%, 2인가구 80%)이하인 자에게 우선공급"
전용면적 60㎡ 초과 ~ 85㎡ 이하,"무주택세대구성원으로서 전년도 도시근로자 가구원수별 가구당 월평균 소득의 120%이하인자· 가구원수별 가구당 월평균소득의 100%(1인가구 120%, 2인가구 110%)이하인자에게 우선공급"
